,TEXTVALUE
0,вполне
1,соответствует
2,не соответствует
3,да
4,нет
5,не уверен
6,думаю да
7,"задачи в целом интересные, но перенапрягают"
8,задачи неинтересные и перенапрягают
9,неинтересно
10,могло быть и лучше
11,10 из 10
12,в целом скорее да
13,не совсем
14,не
15,не очень
16,задачи неинтересные
17,хотелось бы иметь возможность попробовать себя в чём-то новом
18,я доволен
19,устраивают
20,в целом неплохо
21,задачи рутинные
22,не слишком
23,соответствуют моим ожиданиям
24,мои ожидания оправданы
25,более чем
26,мне интересны проекты над которыми я сейчас работаю
27,не могу сказать точно
28,не уверен
29,"скорее да, чем нет"
30,скорее нет чем да
31,более чем доволен
32,даже лучше
33,на 100%
34,в восторге от них
35,в последнее время не особо
36,"в последнее время не особо, но до этого в основном были интересные"
37,на 7 из 10
38,на 3 из 10
39,содержание и уровень задач соответствуют моим ожиданиям
40,в основном да
41,последнее время слишком устаю от них
42,DS ван лав
43,задачи слишком однотипные
44,задачи слишком муторные
45,уровень задач меня расстраивает
46,могли быть и поинтереснее
47,слишком выгораю последнее время
48,слишком устаю
49,не знаю
50,пока непонятно
51,"я новенький и только преступил к своим обязанностям, поэтому пока точно не скажу"
52,"даже близко не то, что ожидал"
53,сложные и нетривальные задачи. Мне это нравится)
